Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
18;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;052;80 - 84;Española;M;1;Primera Atención;;;03/01/2019
19;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;027;60 - 64;Española;H;0;CIVIS;;;03/01/2019
20;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;067;18 - 24;Extranjera;M;1;Primera Atención;010;Malos Tratos;03/01/2019
21;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;091;30 - 34;Española;M;1;Primera Atención;050;Desprotección socio-familiar;03/01/2019
22;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;047;70 - 74;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;03/01/2019
23;72;CSS Retiro;03;RETIRO;03;RETIRO;0303;ESTRELLA;031;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;03/01/2019
24;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;112;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;03/01/2019
25;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;091;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2019
26;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;13;PUENTE DE VALLECAS;1301;ENTREVIAS;033;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;03/01/2019
27;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1803;ENSANCHE DE VALLECAS;065;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2019
28;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1107;ABRANTES;169;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
29;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1102;OPAÑEL;041;75 - 79;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2019
30;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1102;OPAÑEL;030;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
31;91;CSS Luis Vives;15;CIUDAD LINEAL;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;007;30 - 34;Extranjera;M;2;Zona / Historia Social;;;04/01/2019
32;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;017;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
33;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;009;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
34;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;039;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
35;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0808;EL GOLOSO;184;65 - 69;Española;H;0;CIVIS;040;Desproteccion social problema salud;04/01/2019
36;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;115;40 - 44;Extranjera;M;1;Primera Atención;010;Malos Tratos;04/01/2019
37;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;069;80 - 84;Española;M;2;Zona / Historia Social;;;04/01/2019
38;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;017;40 - 44;Extranjera;H;2;Zona / Historia Social;;;04/01/2019
39;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;151;45- 49;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2019
40;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;057;60 - 64;Española;H;1;Primera Atención;040;Desproteccion social problema salud;04/01/2019
41;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0401;RECOLETOS;009;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
42;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;079;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
43;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;073;70 - 74;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
44;84;CSS San Filiberto;12;USERA ;05;CHAMARTÍN;0505;NUEVA ESPAÑA;080;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2019
45;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1705;LOS ANGELES;083;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2019
46;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;018;45- 49;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;04/01/2019
47;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;018;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2019
48;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;013;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2019
49;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;054;75 - 79;Española;M;0;CIVIS;040;Desproteccion social problema salud;08/01/2019
50;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;097;35 - 39;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2019
51;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;101;40 - 44;Española;H;0;CIVIS;030;Alojamiento/Vivienda;08/01/2019
52;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1101;COMILLAS;002;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2019
53;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;089;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;08/01/2019
54;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;018;75 - 79;Española;M;1;Primera Atención;;;08/01/2019
55;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;031;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
56;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;020;18 - 24;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2019
57;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;072;75 - 79;Española;M;2;Zona / Historia Social;;;08/01/2019
58;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;073;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
59;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;070;30 - 34;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2019
60;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;037;65 - 69;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
61;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;063;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
62;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;147;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
63;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;202;60 - 64;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2019
64;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;169;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2019
65;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;193;25 - 29;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2019
66;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;074;75 - 79;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2019
67;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;111;30 - 34;Española;M;2;Zona / Historia Social;010;Malos Tratos;08/01/2019
68;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;016;45- 49;Española;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2019
69;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;075;65 - 69;Española;H;1;Primera Atención;040;Desproteccion social problema salud;08/01/2019
70;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1703;BUTARQUE;111;40 - 44;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
71;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1702;SAN CRISTOBAL;043;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2019
72;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0203;CHOPERA;040;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
73;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1107;ABRANTES;194;45- 49;Española;H;1;Primera Atención;;;09/01/2019
74;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1101;COMILLAS;007;30 - 34;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;09/01/2019
75;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;122;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2019
76;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;048;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
77;71;CSS Maravillas;01;CENTRO;01;CENTRO;0104;JUSTICIA;073;60 - 64;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
78;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;004;65 - 69;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
79;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;020;30 - 34;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;09/01/2019
80;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;078;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2019
81;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;051;25 - 29;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;09/01/2019
82;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;008;25 - 29;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2019
83;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;125;45- 49;Española;M;1;Primera Atención;;;09/01/2019
84;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;089;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2019
85;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1604;PINAR DEL REY;065;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
86;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;038;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;09/01/2019
87;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;035;30 - 34;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2019
88;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;038;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;09/01/2019
89;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;102;35 - 39;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2019
90;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1404;MEDIA LEGUA;032;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2019
91;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;074;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
92;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;189;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2019
93;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;069;30 - 34;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2019
94;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;048;75 - 79;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2019
95;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2005;ROSAS;115;40 - 44;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2019
96;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2008;SALVADOR;098;25 - 29;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2019
97;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;001;50 - 54;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2019
98;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;037;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
99;85;CSS Loyola de Palacio;12;USERA ;12;USERA ;1203;SAN FERMIN;103;65 - 69;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
100;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;064;80 - 84;Española;H;1;Primera Atención;;;09/01/2019
101;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;065;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;09/01/2019
102;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;092;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2019
103;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;014;18 - 24;Española;M;2;Zona / Historia Social;;;09/01/2019
104;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;021;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2019
105;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;077;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2019
106;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;138;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;10/01/2019
107;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;131;60 - 64;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2019
108;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1101;COMILLAS;002;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2019
109;71;CSS Maravillas;01;CENTRO;01;CENTRO;0104;JUSTICIA;082;30 - 34;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2019
110;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;121;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2019
111;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;121;55 - 59;Española;H;1;Primera Atención;050;Desprotección socio-familiar;10/01/2019
112;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;045;>= 85;Española;M;2;Zona / Historia Social;;;10/01/2019
113;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;151;80 - 84;Española;M;1;Primera Atención;;;10/01/2019
114;92;CSS Concepción Arenal;16;HORTALEZA;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;062;40 - 44;Extranjera;M;1;Primera Atención;010;Malos Tratos;10/01/2019
115;130;CSS El Querol;16;HORTALEZA;16;HORTALEZA;1606;VALDEFUENTES;124;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2019
116;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;189;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2019
117;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;193;75 - 79;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2019
118;87;CSS Entrevías;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1301;ENTREVIAS;021;40 - 44;Extranjera;M;2;Zona / Historia Social;;;10/01/2019
119;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;190;65 - 69;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2019
120;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;083;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;10/01/2019
121;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;044;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2019
122;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;042;35 - 39;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2019
123;85;CSS Loyola de Palacio;12;USERA ;12;USERA ;1203;SAN FERMIN;029;55 - 59;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2019
124;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;064;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2019
125;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;064;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2019
126;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;091;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2019
127;96;CSS Valdebernardo;19;VICÁLVARO;19;VICÁLVARO;1903;VALDERRIVAS;042;70 - 74;Española;H;1;Primera Atención;;;10/01/2019
128;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;014;18 - 24;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2019
129;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;014;40 - 44;Española;M;2;Zona / Historia Social;010;Malos Tratos;10/01/2019
130;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;065;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2019
131;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;023;30 - 34;Extranjera;M;1;Primera Atención;010;Malos Tratos;11/01/2019
132;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1102;OPAÑEL;022;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2019
133;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;103;18 - 24;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2019
134;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;043;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2019
135;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1503;QUINTANA;102;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2019
136;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1506;SAN JUAN BAUTISTA;150;18 - 24;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2019
137;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;075;>= 85;Española;H;2;Zona / Historia Social;;;11/01/2019
138;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;075;>= 85;Española;H;2;Zona / Historia Social;;;11/01/2019
139;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;06;TETUÁN;0601;BELLAS VISTAS;005;40 - 44;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;11/01/2019
140;92;CSS Concepción Arenal;16;HORTALEZA;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;062;40 - 44;Extranjera;M;1;Primera Atención;010;Malos Tratos;11/01/2019
141;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;022;70 - 74;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2019
142;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;075;60 - 64;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2019
