Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
36;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0203;CHOPERA;047;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;07/01/2021
37;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;131;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2021
38;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;028;40 - 44;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2021
39;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;013;18 - 24;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;07/01/2021
40;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;026;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2021
41;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;203;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;07/01/2021
42;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1405;FONTARRON;055;50 - 54;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;07/01/2021
43;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;190;50 - 54;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;07/01/2021
44;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;084;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2021
45;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;018;35 - 39;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;07/01/2021
46;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;031;70 - 74;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2021
47;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;07/01/2021
48;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;075;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;07/01/2021
49;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;079;40 - 44;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;07/01/2021
50;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1803;ENSANCHE DE VALLECAS;057;18 - 24;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;07/01/2021
51;71;CSS Maravillas;01;CENTRO;01;CENTRO;0106;SOL;120;40 - 44;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2021
52;71;CSS Maravillas;01;CENTRO;01;CENTRO;0105;UNIVERSIDAD;111;75 - 79;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2021
53;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;108;60 - 64;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2021
54;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;015;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;08/01/2021
55;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;024;70 - 74;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2021
56;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0903;CIUDAD UNIVERSITARIA;033;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2021
57;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0904;VALDEZARZA;082;>= 85;Española;M;1;Primera Atención;050;Desprotección socio-familiar;08/01/2021
58;87;CSS Entrevías;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1301;ENTREVIAS;008;35 - 39;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2021
59;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;181;65 - 69;Española;H;1;Primera Atención;040;Desproteccion social problema salud;08/01/2021
60;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;043;60 - 64;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2021
61;72;CSS Retiro;03;RETIRO;03;RETIRO;0304;IBIZA;055;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;08/01/2021
62;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;080;60 - 64;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2021
63;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;125;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2021
64;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;012;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2021
65;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0603;CASTILLEJOS;068;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2021
66;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;126;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2021
67;71;CSS Maravillas;01;CENTRO;01;CENTRO;0105;UNIVERSIDAD;106;70 - 74;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2021
68;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;057;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2021
69;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;015;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2021
70;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0903;CIUDAD UNIVERSITARIA;044;50 - 54;Española;M;1;Primera Atención;040;Desproteccion social problema salud;11/01/2021
71;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;144;4 - 11;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2021
72;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;144;60 - 64;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2021
73;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;049;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2021
74;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;018;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2021
75;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;074;70 - 74;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2021
76;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;097;55 - 59;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2021
77;84;CSS San Filiberto;12;USERA ;11;CARABANCHEL;1101;COMILLAS;017;18 - 24;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2021
78;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;053;25 - 29;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2021
79;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1803;ENSANCHE DE VALLECAS;065;35 - 39;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2021
80;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;063;70 - 74;Española;H;1;Primera Atención;040;Desproteccion social problema salud;12/01/2021
81;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;087;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;12/01/2021
82;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;012;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;12/01/2021
83;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1004;ALUCHE;131;75 - 79;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;12/01/2021
84;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;146;70 - 74;Española;M;1;Primera Atención;050;Desprotección socio-familiar;12/01/2021
85;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;146;35 - 39;Española;M;1;Primera Atención;050;Desprotección socio-familiar;12/01/2021
86;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;190;50 - 54;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;12/01/2021
87;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;097;65 - 69;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;12/01/2021
88;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;055;60 - 64;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;12/01/2021
89;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0706;VALLEHERMOSO;131;45- 49;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2021
90;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1504;CONCEPCION;119;70 - 74;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2021
91;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;115;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2021
92;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;012;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2021
93;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;032;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;13/01/2021
94;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;109;18 - 24;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;13/01/2021
95;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;127;55 - 59;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2021
96;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1902;AMBROZ;025;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;13/01/2021
97;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;058;>= 85;Española;M;1;Primera Atención;050;Desprotección socio-familiar;14/01/2021
98;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;084;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;14/01/2021
99;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0804;EL PILAR;031;75 - 79;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;14/01/2021
100;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;082;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;14/01/2021
101;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;10;LATINA;1006;CUATRO VIENTOS;221;60 - 64;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;14/01/2021
102;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;005;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;14/01/2021
103;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;108;50 - 54;Española;M;1;Primera Atención;040;Desproteccion social problema salud;14/01/2021
104;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;116;70 - 74;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;14/01/2021
105;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;088;35 - 39;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;14/01/2021
106;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;001;45- 49;Extranjera;H;1;Primera Atención;050;Desprotección socio-familiar;14/01/2021
107;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;065;35 - 39;Extranjera;H;2;Zona / Historia Social;;;15/01/2021
108;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2101;ALAMEDA DE OSUNA;003;35 - 39;Española;M;1;Primera Atención;040;Desproteccion social problema salud;15/01/2021
109;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0503;CIUDAD JARDIN;096;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;15/01/2021
110;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0503;CIUDAD JARDIN;096;55 - 59;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;15/01/2021
111;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0504;HISPANOAMERICA;056;65 - 69;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;15/01/2021
112;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0706;VALLEHERMOSO;123;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;15/01/2021
113;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;058;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;15/01/2021
114;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1506;SAN JUAN BAUTISTA;149;35 - 39;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;15/01/2021
115;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0805;LA PAZ;040;70 - 74;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;15/01/2021
116;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;016;80 - 84;Española;H;1;Primera Atención;040;Desproteccion social problema salud;15/01/2021
117;92;CSS Concepción Arenal;16;HORTALEZA;11;CARABANCHEL;1103;SAN ISIDRO;069;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;15/01/2021
118;92;CSS Concepción Arenal;16;HORTALEZA;16;HORTALEZA;1603;CANILLAS;015;80 - 84;Española;H;2;Zona / Historia Social;010;Malos Tratos;15/01/2021
119;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0904;VALDEZARZA;052;80 - 84;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;15/01/2021
120;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;044;60 - 64;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;15/01/2021
121;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;123;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;15/01/2021
122;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;019;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;15/01/2021
123;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;068;60 - 64;Extranjera;M;2;Zona / Historia Social;040;Desproteccion social problema salud;18/01/2021
124;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;190;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;18/01/2021
125;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;149;18 - 24;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;18/01/2021
126;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;008;65 - 69;Española;H;1;Primera Atención;040;Desproteccion social problema salud;18/01/2021
127;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1503;QUINTANA;101;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;18/01/2021
128;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;011;40 - 44;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;18/01/2021
129;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;088;35 - 39;Extranjera;M;2;Zona / Historia Social;;;18/01/2021
130;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;116;70 - 74;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;18/01/2021
131;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;096;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;18/01/2021
132;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;077;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;18/01/2021
133;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1703;BUTARQUE;111;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;18/01/2021
134;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;139;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;19/01/2021
135;83;CSS Zaida;11;CARABANCHEL;02;ARGANZUELA;0203;CHOPERA;046;40 - 44;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;19/01/2021
136;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;086;25 - 29;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;19/01/2021
137;71;CSS Maravillas;01;CENTRO;01;CENTRO;0103;CORTES;071;18 - 24;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;19/01/2021
138;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;080;65 - 69;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;19/01/2021
139;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;058;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;19/01/2021
140;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;040;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;19/01/2021
141;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;034;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;19/01/2021
