Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
38;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;030;60 - 64;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
39;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;079;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
40;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;110;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
41;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;010;70 - 74;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2018
42;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;191;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
43;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;050;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2018
44;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;015;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2018
45;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;118;35 - 39;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2018
46;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;017;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
47;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;053;40 - 44;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2018
48;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;061;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
49;72;CSS Retiro;03;RETIRO;03;RETIRO;0304;IBIZA;057;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;04/01/2018
50;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;040;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
51;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;053;30 - 34;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;04/01/2018
52;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;032;35 - 39;Extranjera;M;1;Primera Atención;;;04/01/2018
53;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;094;80 - 84;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2018
54;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;080;35 - 39;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2018
55;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1902;AMBROZ;023;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2018
56;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;08;FUENCARRAL-EL PARDO;0806;VALVERDE;112;55 - 59;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2018
57;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;060;45- 49;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2018
58;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1107;ABRANTES;157;60 - 64;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2018
59;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1107;ABRANTES;169;45- 49;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
60;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;063;80 - 84;Española;H;2;Zona / Historia Social;;;05/01/2018
61;83;CSS Zaida;11;CARABANCHEL;10;LATINA;1003;LUCERO;063;25 - 29;Extranjera;M;2;Zona / Historia Social;;;05/01/2018
62;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;040;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
63;77;CSS Badalona;08;FUENCARRAL-EL PARDO;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;001;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2018
64;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;153;55 - 59;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;05/01/2018
65;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;051;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2018
66;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;091;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
67;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;116;65 - 69;Española;H;1;Primera Atención;;;05/01/2018
68;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0904;VALDEZARZA;056;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
69;73;CSS Guindalera;04;SALAMANCA;10;LATINA;1005;CAMPAMENTO;154;25 - 29;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;05/01/2018
70;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2003;AMPOSTA;037;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
71;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2002;HELLIN;023;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
72;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;033;70 - 74;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2018
73;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;008;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2018
74;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;075;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;08/01/2018
75;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1101;COMILLAS;003;60 - 64;Española;M;1;Primera Atención;040;Desproteccion social problema salud;08/01/2018
76;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;000;35 - 39;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;08/01/2018
77;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0801;EL PARDO;003;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2018
78;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;210;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2018
79;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;170;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;08/01/2018
80;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;055;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2018
81;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;030;>= 85;Española;H;1;Primera Atención;050;Desprotección socio-familiar;08/01/2018
82;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0905;VALDEMARIN;091;50 - 54;Española;M;1;Primera Atención;010;Malos Tratos;08/01/2018
83;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;021;30 - 34;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2018
84;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;08;FUENCARRAL-EL PARDO;0806;VALVERDE;112;55 - 59;Extranjera;M;1;Primera Atención;030;Alojamiento/Vivienda;08/01/2018
85;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1704;LOS ROSALES;066;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;08/01/2018
86;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;102;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2018
87;83;CSS Zaida;11;CARABANCHEL;10;LATINA;1003;LUCERO;063;25 - 29;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;09/01/2018
88;71;CSS Maravillas;01;CENTRO;01;CENTRO;0105;UNIVERSIDAD;095;70 - 74;Española;M;2;Zona / Historia Social;;;09/01/2018
89;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;034;35 - 39;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;09/01/2018
90;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1508;ATALAYA;159;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;09/01/2018
91;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1005;CAMPAMENTO;152;>= 85;Española;M;1;Primera Atención;;;09/01/2018
92;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;050;70 - 74;Española;H;1;Primera Atención;050;Desprotección socio-familiar;09/01/2018
93;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;135;45- 49;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;09/01/2018
94;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;120;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2018
95;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;086;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;09/01/2018
96;72;CSS Retiro;03;RETIRO;03;RETIRO;0301;PACIFICO;002;60 - 64;Extranjera;M;1;Primera Atención;050;Desprotección socio-familiar;09/01/2018
97;96;CSS Valdebernardo;19;VICÁLVARO;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;049;70 - 74;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;09/01/2018
98;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0202;ACACIAS;024;>= 85;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2018
99;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;069;75 - 79;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2018
100;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;099;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;10/01/2018
101;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1102;OPAÑEL;040;40 - 44;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2018
102;71;CSS Maravillas;01;CENTRO;01;CENTRO;0105;UNIVERSIDAD;116;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2018
103;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0101;PALACIO;003;65 - 69;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2018
104;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1508;ATALAYA;159;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2018
105;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1502;PUEBLO NUEVO;062;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2018
106;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;033;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2018
107;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;009;45- 49;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;10/01/2018
108;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;018;80 - 84;Extranjera;H;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
109;92;CSS Concepción Arenal;16;HORTALEZA;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;005;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;10/01/2018
110;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;161;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
111;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;161;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
112;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1004;ALUCHE;130;50 - 54;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;10/01/2018
113;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;110;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2018
114;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;142;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
115;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;095;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2018
116;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1404;MEDIA LEGUA;031;35 - 39;Extranjera;M;2;Zona / Historia Social;010;Malos Tratos;10/01/2018
117;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;213;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
118;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0404;GUINDALERA;093;45- 49;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;10/01/2018
119;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;053;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
120;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;075;70 - 74;Española;M;1;Primera Atención;010;Malos Tratos;10/01/2018
121;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;003;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2018
122;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0602;CUATRO CAMINOS;029;>= 85;Española;M;1;Primera Atención;050;Desprotección socio-familiar;10/01/2018
123;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;071;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;10/01/2018
124;84;CSS San Filiberto;12;USERA ;12;USERA ;1207;PRADOLONGO;094;80 - 84;Española;M;1;Primera Atención;050;Desprotección socio-familiar;10/01/2018
125;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1902;AMBROZ;020;80 - 84;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;10/01/2018
126;103;CSS Eduardo Minguito;17;VILLAVERDE;17;VILLAVERDE;1702;SAN CRISTOBAL;037;45- 49;Española;H;1;Primera Atención;040;Desproteccion social problema salud;10/01/2018
127;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1101;COMILLAS;016;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;11/01/2018
128;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;117;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2018
129;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;074;18 - 24;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2018
130;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;065;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2018
131;71;CSS Maravillas;01;CENTRO;01;CENTRO;0106;SOL;118;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2018
132;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;058;50 - 54;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2018
133;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;033;>= 85;Española;M;0;CIVIS;040;Desproteccion social problema salud;11/01/2018
134;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;035;70 - 74;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2018
135;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;033;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;11/01/2018
136;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;166;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2018
137;102;CSS San Vicente de Paúl;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0803;PEÑAGRANDE;016;80 - 84;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2018
138;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;170;45- 49;Española;M;2;Zona / Historia Social;010;Malos Tratos;11/01/2018
139;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;073;80 - 84;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;11/01/2018
140;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;025;40 - 44;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2018
141;80;CSS Gallur;10;LATINA;10;LATINA;1002;PUERTA DEL ANGEL;049;70 - 74;Española;H;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2018
142;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1401;PAVONES;003;18 - 24;Extranjera;H;1;Primera Atención;;;11/01/2018
143;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0403;FUENTE DEL BERRO;052;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;11/01/2018
144;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0404;GUINDALERA;070;18 - 24;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;11/01/2018
145;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0601;BELLAS VISTAS;021;>= 85;Española;M;1;Primera Atención;;;11/01/2018
