Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Proceso;Proceso;Fecha Demanda
57;130;CSS El Querol;16;HORTALEZA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
58;106;CSS Fuerte de Navidad;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
59;106;CSS Fuerte de Navidad;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
60;106;CSS Fuerte de Navidad;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
61;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1007;AGUILAS;161;45 - 49;Española;H;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
62;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;60;VIVIENDA;03/01/2022
63;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
64;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;79;RESIDENCIA TEMPORAL MAYORES CM;03/01/2022
65;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
66;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
67;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;170;CENTRO DE DÍA (PERSONAS CON DETERIORO FÍSICO  O RELACIONAL);03/01/2022
68;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
69;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
70;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
71;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;121;VIVIENDA CM;03/01/2022
72;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;1;COBERTURA NECESIDADES BASICAS;03/01/2022
73;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;84;TUTELA ADULTOS CM;03/01/2022
74;80;CSS Gallur;10;LATINA; ; ; ; ; ; ; ; ;98;BECAS COMEDOR ESCOLAR CM;03/01/2022
75;79;CSS Los Yébenes;10;LATINA;11;CARABANCHEL;1103;SAN ISIDRO;072;65 - 69;Española;H;10902;INGRESO MÍNIMO VITAL;03/01/2022
76;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;113;60 - 64;Extranjera;M;62;ASOCIACIONES ONG;03/01/2022
77;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;084;25 - 29;Extranjera;M;1;COBERTURA NECESIDADES BASICAS;03/01/2022
78;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;107;45 - 49;Extranjera;H;120;TRABAJO Y EMPLEO CM;03/01/2022
79;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;107;45 - 49;Extranjera;H;60;VIVIENDA;03/01/2022
80;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;084;50 - 54;Extranjera;M;5;AYUDA COMEDOR ESCOLAR;03/01/2022
81;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;107;45 - 49;Extranjera;H;10902;INGRESO MÍNIMO VITAL;03/01/2022
82;79;CSS Los Yébenes;10;LATINA;10;LATINA;1004;ALUCHE;084;25 - 29;Extranjera;M;59;TRABAJO Y EMPLEO;03/01/2022
83;79;CSS Los Yébenes;10;LATINA;10;LATINA;1003;LUCERO;061;50 - 54;Extranjera;M;10876;AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS;03/01/2022
84;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;62;ASOCIACIONES ONG;03/01/2022
85;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;10872;AYUDA ECONÓMICA ESCUELA INFANTIL;03/01/2022
86;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;10868;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO;03/01/2022
87;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
88;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
89;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
90;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
91;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
92;78;CSS Dehesa de la Villa;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;184;CENTROS DE ACOGIDA;03/01/2022
93;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
94;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
95;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
96;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;9992;TELEASISTENCIA DISCAPACITADOS ASP;03/01/2022
97;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;169;SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS;03/01/2022
98;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ; ; ; ; ; ; ; ; ;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
99;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0907;ARAVACA;079;70 - 74;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
100;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0907;ARAVACA;075;18 - 24;Extranjera;M;31;EDUCADOR SOCIAL;03/01/2022
101;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0907;ARAVACA;075;18 - 24;Extranjera;M;10872;AYUDA ECONÓMICA ESCUELA INFANTIL;03/01/2022
102;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0907;ARAVACA;075;45 - 49;Extranjera;M;62;ASOCIACIONES ONG;03/01/2022
103;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0902;ARGÜELLES;013;18 - 24;Extranjera;H;10868;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO;03/01/2022
104;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0902;ARGÜELLES;013;18 - 24;Extranjera;H;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
105;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0902;ARGÜELLES;023;25 - 29;Extranjera;H;51;CENTRO ATENCIÓN PERSONAS SIN HOGAR / PUE;03/01/2022
106;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0902;ARGÜELLES;017;75 - 79;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
107;104;CSS Infante Don Juan ;09;MONCLOA-ARAVACA     ;09;MONCLOA-ARAVACA     ;0902;ARGÜELLES;017;75 - 79;Española;M;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
108;90;CSS Fuente Carrantona;14;MORATALAZ; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
109;90;CSS Fuente Carrantona;14;MORATALAZ; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
110;90;CSS Fuente Carrantona;14;MORATALAZ; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
111;90;CSS Fuente Carrantona;14;MORATALAZ; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
112;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;028;70 - 74;Española;H;79;RESIDENCIA TEMPORAL MAYORES CM;03/01/2022
113;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;017;65 - 69;Española;M;57;DEPENDENCIA CM;03/01/2022
114;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;017;65 - 69;Española;M;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
115;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;017;75 - 79;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
116;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1404;MEDIA LEGUA;039;>=85;Española;M;57;DEPENDENCIA CM;03/01/2022
117;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1404;MEDIA LEGUA;032;60 - 64;Española;M;59;TRABAJO Y EMPLEO;03/01/2022
118;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1404;MEDIA LEGUA;039;>=85;Española;M;57;DEPENDENCIA CM;03/01/2022
119;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1404;MEDIA LEGUA;039;>=85;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
120;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1401;PAVONES;004;75 - 79;Española;M;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
121;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1401;PAVONES;004;75 - 79;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
122;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;060;70 - 74;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
123;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;070;60 - 64;Extranjera;H;169;SERVICIO DE AYUDA A DOMICILIO DISCAPACITADOS;03/01/2022
124;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;072;80 - 84;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
125;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;075;80 - 84;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
126;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;072;80 - 84;Española;M;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
127;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;064;18 - 24;Extranjera;M;62;ASOCIACIONES ONG;03/01/2022
128;87;CSS Entrevías;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
129;87;CSS Entrevías;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
130;87;CSS Entrevías;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;10902;INGRESO MÍNIMO VITAL;03/01/2022
131;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;10902;INGRESO MÍNIMO VITAL;03/01/2022
132;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;56;ACTIVIDADES DE OCIO Y TIEMPO LIBRE;03/01/2022
133;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
134;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
135;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
136;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;114;55 - 59;Española;H;10902;INGRESO MÍNIMO VITAL;03/01/2022
137;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;114;55 - 59;Española;H;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
138;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;199;70 - 74;Española;M;57;DEPENDENCIA CM;03/01/2022
139;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;126;30 - 34;Extranjera;M;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
140;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;199;75 - 79;Española;M;57;DEPENDENCIA CM;03/01/2022
141;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;136;80 - 84;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
142;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;154;35 - 39;Española;M;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
143;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1305;PORTAZGO;154;35 - 39;Española;M;10902;INGRESO MÍNIMO VITAL;03/01/2022
144;86;CSS San Diego;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;62;ASOCIACIONES ONG;03/01/2022
145;86;CSS San Diego;13;PUENTE DE VALLECAS; ; ; ; ; ; ; ; ;10902;INGRESO MÍNIMO VITAL;03/01/2022
146;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;10872;AYUDA ECONÓMICA ESCUELA INFANTIL;03/01/2022
147;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
148;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;218;SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA;03/01/2022
149;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
150;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
151;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
152;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;218;SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA;03/01/2022
153;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;218;SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA;03/01/2022
154;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;10868;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALOJAMIENTO;03/01/2022
155;72;CSS Retiro;03;RETIRO; ; ; ; ; ; ; ; ;10860;CENTRO DE DÍA DEPENDENCIA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS);03/01/2022
156;73;CSS Guindalera;04;SALAMANCA;07;CHAMBERÍ;0705;RIOS ROSAS;114;50 - 54;Española;M;57;DEPENDENCIA CM;03/01/2022
157;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS; ; ; ; ; ; ; ; ;4;AYUDA PAGO NECESIDADES DE ALOJAMIENTO;03/01/2022
158;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS; ; ; ; ; ; ; ; ;10902;INGRESO MÍNIMO VITAL;03/01/2022
159;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS; ; ; ; ; ; ; ; ;62;ASOCIACIONES ONG;03/01/2022
160;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS; ; ; ; ; ; ; ; ;1;COBERTURA NECESIDADES BASICAS;03/01/2022
161;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2007;CANILLEJAS;080;50 - 54;Española;M;10902;INGRESO MÍNIMO VITAL;03/01/2022
162;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2008;SALVADOR;095;>=85;Española;M;57;DEPENDENCIA CM;03/01/2022
163;85;CSS Loyola de Palacio;12;USERA ; ; ; ; ; ; ; ; ;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
164;85;CSS Loyola de Palacio;12;USERA ; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
165;85;CSS Loyola de Palacio;12;USERA ; ; ; ; ; ; ; ; ;1;COBERTURA NECESIDADES BASICAS;03/01/2022
166;85;CSS Loyola de Palacio;12;USERA ; ; ; ; ; ; ; ; ;98;BECAS COMEDOR ESCOLAR CM;03/01/2022
167;85;CSS Loyola de Palacio;12;USERA ; ; ; ; ; ; ; ; ;223;INFORME DERIVACION GENERAL;03/01/2022
